run_id,scenario,workload,config,problems,warmup,iters,seed,persistent_ctas,mode,prep_ms,kernel_ms,tflops,tiles,grid_ctas,launches,tail_share
1,grid_workload_config,small,64x64x16,256,10,50,42,0,none,0.041,0.041,0.830,300,144,1,0.103
1,grid_workload_config,small,64x64x16,256,10,50,42,0,sort_by_k,0.056,0.039,0.876,300,144,1,0.035
1,grid_workload_config,small,64x64x16,256,10,50,42,0,sort_by_tiles,0.064,0.037,0.930,300,144,1,0.035
1,grid_workload_config,small,64x64x16,256,10,50,42,0,sort_by_tiles_then_k,0.140,0.036,0.959,300,144,1,0.035
1,grid_workload_config,small,64x64x16,256,10,50,42,0,baseline_per_problem,0.000,3.434,0.010,300,0,256,0.000
2,grid_workload_config,small,128x64x32,256,10,50,42,0,none,0.040,0.070,0.490,300,72,1,0.100
2,grid_workload_config,small,128x64x32,256,10,50,42,0,sort_by_k,0.048,0.067,0.514,300,72,1,0.061
2,grid_workload_config,small,128x64x32,256,10,50,42,0,sort_by_tiles,0.047,0.068,0.509,300,72,1,0.061
2,grid_workload_config,small,128x64x32,256,10,50,42,0,sort_by_tiles_then_k,0.059,0.067,0.509,300,72,1,0.061
2,grid_workload_config,small,128x64x32,256,10,50,42,0,baseline_per_problem,0.000,3.502,0.010,300,0,256,0.000
3,grid_workload_config,small,64x128x32,256,10,50,42,0,none,0.053,0.062,0.558,256,72,1,0.105
3,grid_workload_config,small,64x128x32,256,10,50,42,0,sort_by_k,0.052,0.059,0.586,256,72,1,0.071
3,grid_workload_config,small,64x128x32,256,10,50,42,0,sort_by_tiles,0.065,0.058,0.593,256,72,1,0.071
3,grid_workload_config,small,64x128x32,256,10,50,42,0,sort_by_tiles_then_k,0.058,0.058,0.589,256,72,1,0.071
3,grid_workload_config,small,64x128x32,256,10,50,42,0,baseline_per_problem,0.000,3.829,0.009,256,0,256,0.000
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,none,0.048,0.111,2.561,620,144,1,0.123
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.084,0.104,2.741,620,144,1,0.012
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,sort_by_tiles,0.094,0.108,2.626,620,144,1,0.010
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,sort_by_tiles_then_k,0.093,0.113,2.519,620,144,1,0.010
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,baseline_per_problem,0.000,3.303,0.086,620,0,256,0.000
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,none,0.064,0.140,2.033,457,72,1,0.117
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,sort_by_k,0.113,0.126,2.257,457,72,1,0.027
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,sort_by_tiles,0.052,0.136,2.094,457,72,1,0.018
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,sort_by_tiles_then_k,0.088,0.136,2.084,457,72,1,0.018
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,baseline_per_problem,0.000,3.692,0.077,457,0,256,0.000
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,none,0.059,0.152,1.877,456,72,1,0.120
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,sort_by_k,0.096,0.142,2.002,456,72,1,0.028
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,sort_by_tiles,0.110,0.144,1.977,456,72,1,0.018
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,sort_by_tiles_then_k,0.099,0.157,1.815,456,72,1,0.018
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,baseline_per_problem,0.000,3.943,0.072,456,0,256,0.000
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,none,0.127,0.188,4.504,630,144,1,0.065
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,sort_by_k,0.128,0.186,4.531,630,144,1,0.003
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,sort_by_tiles,0.069,0.211,4.005,630,144,1,0.003
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,sort_by_tiles_then_k,0.062,0.209,4.051,630,144,1,0.003
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,baseline_per_problem,0.000,3.193,0.265,630,0,256,0.000
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,none,0.142,0.212,3.988,447,72,1,0.069
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,sort_by_k,0.194,0.198,4.276,447,72,1,0.011
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,sort_by_tiles,0.132,0.259,3.261,447,72,1,0.011
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,sort_by_tiles_then_k,0.117,0.290,2.917,447,72,1,0.011
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,baseline_per_problem,0.000,3.755,0.225,447,0,256,0.000
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,none,0.052,0.223,3.791,444,72,1,0.064
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,sort_by_k,0.060,0.210,4.031,444,72,1,0.011
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,sort_by_tiles,0.062,0.228,3.700,444,72,1,0.011
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,sort_by_tiles_then_k,0.076,0.308,2.744,444,72,1,0.011
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,baseline_per_problem,0.000,3.721,0.227,444,0,256,0.000
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,none,0.061,0.039,2.039,162,144,1,0.110
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,sort_by_k,0.048,0.048,1.632,162,144,1,0.019
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,sort_by_tiles,0.054,0.042,1.881,162,144,1,0.012
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,sort_by_tiles_then_k,0.058,0.042,1.882,162,144,1,0.012
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,baseline_per_problem,0.000,0.614,0.129,162,0,64,0.000
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,none,0.058,0.056,2.235,300,144,1,0.128
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,sort_by_k,0.055,0.056,2.238,300,144,1,0.016
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,sort_by_tiles,0.081,0.052,2.414,300,144,1,0.012
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,sort_by_tiles_then_k,0.055,0.053,2.388,300,144,1,0.012
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,baseline_per_problem,0.000,1.495,0.084,300,0,128,0.000
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,none,0.038,0.102,2.785,620,144,1,0.123
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.086,0.095,2.992,620,144,1,0.012
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,sort_by_tiles,0.064,0.099,2.876,620,144,1,0.010
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,sort_by_tiles_then_k,0.055,0.100,2.849,620,144,1,0.010
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,baseline_per_problem,0.000,3.273,0.087,620,0,256,0.000
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,none,0.058,0.187,3.094,1220,144,1,0.093
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,sort_by_k,0.187,0.210,2.743,1220,144,1,0.016
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,sort_by_tiles,0.092,0.279,2.071,1220,144,1,0.012
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,sort_by_tiles_then_k,0.160,0.638,0.905,1220,144,1,0.012
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,baseline_per_problem,0.000,4.807,0.120,1220,0,512,0.000
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,none,0.115,0.383,2.986,2435,144,1,0.095
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,sort_by_k,0.212,0.398,2.873,2435,144,1,0.017
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,sort_by_tiles,0.231,0.395,2.897,2435,144,1,0.012
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,sort_by_tiles_then_k,0.257,0.811,1.410,2435,144,1,0.012
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,baseline_per_problem,0.000,13.236,0.086,2435,0,1024,0.000
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,none,0.052,0.086,2.492,107,72,1,0.180
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,sort_by_k,0.040,0.096,2.242,107,72,1,0.010
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,sort_by_tiles,0.037,0.081,2.657,107,72,1,0.010
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,sort_by_tiles_then_k,0.030,0.080,2.687,107,72,1,0.010
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,baseline_per_problem,0.000,0.813,0.263,107,0,64,0.000
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,none,0.034,0.145,3.310,223,72,1,0.130
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,sort_by_k,0.047,0.122,3.932,223,72,1,0.009
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,sort_by_tiles,0.037,0.130,3.697,223,72,1,0.009
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,sort_by_tiles_then_k,0.051,0.163,2.949,223,72,1,0.009
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,baseline_per_problem,0.000,1.937,0.248,223,0,128,0.000
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,none,0.051,0.212,3.984,447,72,1,0.069
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,sort_by_k,0.073,0.200,4.231,447,72,1,0.011
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,sort_by_tiles,0.139,0.269,3.139,447,72,1,0.011
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,sort_by_tiles_then_k,0.069,0.268,3.151,447,72,1,0.011
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,baseline_per_problem,0.000,3.836,0.220,447,0,256,0.000
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,none,0.047,0.452,3.507,867,72,1,0.101
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,sort_by_k,0.088,0.702,2.257,867,72,1,0.011
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,sort_by_tiles,0.181,0.741,2.139,867,72,1,0.011
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,sort_by_tiles_then_k,0.109,0.731,2.168,867,72,1,0.011
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,baseline_per_problem,0.000,7.642,0.207,867,0,512,0.000
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,none,0.186,1.055,2.922,1741,72,1,0.096
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,sort_by_k,0.268,1.319,2.337,1741,72,1,0.011
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,sort_by_tiles,0.271,1.363,2.262,1741,72,1,0.011
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,sort_by_tiles_then_k,0.281,1.442,2.138,1741,72,1,0.011
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,baseline_per_problem,0.000,15.253,0.202,1741,0,1024,0.000
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,none,0.180,0.283,2.041,915,72,1,0.094
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,sort_by_k,0.158,0.278,2.076,915,72,1,0.031
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,sort_by_tiles,0.142,0.274,2.106,915,72,1,0.018
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,sort_by_tiles_then_k,0.081,0.299,1.928,915,72,1,0.018
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,baseline_per_problem,0.000,7.142,0.081,915,0,512,0.000
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,none,0.049,0.459,1.258,915,24,1,0.094
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,sort_by_k,0.136,0.574,1.005,915,24,1,0.031
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,sort_by_tiles,0.122,0.616,0.937,915,24,1,0.018
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,sort_by_tiles_then_k,0.124,0.612,0.943,915,24,1,0.018
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,baseline_per_problem,0.000,8.038,0.072,915,0,512,0.000
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,none,0.094,0.319,1.811,915,48,1,0.094
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,sort_by_k,0.143,0.348,1.660,915,48,1,0.031
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,sort_by_tiles,0.101,0.483,1.195,915,48,1,0.018
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,sort_by_tiles_then_k,0.112,0.479,1.205,915,48,1,0.018
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,baseline_per_problem,0.000,8.077,0.071,915,0,512,0.000
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,none,0.060,0.276,2.090,915,72,1,0.094
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,sort_by_k,0.138,0.351,1.646,915,72,1,0.031
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,sort_by_tiles,0.165,0.548,1.053,915,72,1,0.018
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,sort_by_tiles_then_k,0.362,0.548,1.053,915,72,1,0.018
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,baseline_per_problem,0.000,8.061,0.072,915,0,512,0.000
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,none,0.086,0.283,2.039,915,96,1,0.094
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,sort_by_k,0.117,0.278,2.077,915,96,1,0.031
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,sort_by_tiles,0.096,0.274,2.106,915,96,1,0.018
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,sort_by_tiles_then_k,0.137,0.340,1.698,915,96,1,0.018
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,baseline_per_problem,0.000,7.993,0.072,915,0,512,0.000
